K,seed,bic_rep,aic_rep,log_lik_rep,bic_w,aic_w,log_lik_w,n_eff,flow_within,flow_between,min_sys_frac,silhouette,n_edges,n_params,converged
2,16,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,17,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,18,326369.4550261833,326127.89365218795,-163034.94682609398,3140.696873934443,2975.280854529683,-1458.6404272648415,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,19,326369.4550261833,326127.89365218795,-163034.94682609398,3140.696873934443,2975.280854529683,-1458.6404272648415,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
3,0,317355.9141391362,316989.40722686745,-158450.70361343372,3169.3294130443574,2918.3533836026527,-1415.1766918013263,2217.200557812128,68.97325724049,31.026742759509997,12.508768631030895,,10551,44,True
3,1,317306.1966867607,316939.68977449194,-158425.84488724597,3169.3520135016274,2918.3759840599228,-1415.1879920299614,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,2,317327.7975371895,316961.29062492074,-158436.64531246037,3169.4640824079734,2918.4880529662687,-1415.2440264831343,2217.200557812128,69.0524393361981,30.947560663801898,12.49636017642715,,10551,44,True
3,3,317298.8700432076,316932.36313093884,-158422.18156546942,3169.310227054948,2918.3341976132433,-1415.1670988066217,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,4,317330.4865149448,316963.97960267606,-158437.98980133803,3169.4758076988364,2918.4997782571318,-1415.2498891285659,2217.200557812128,69.05243933619812,30.947560663801887,12.49636017642715,,10551,44,True
3,5,317307.3348898731,316940.82797760435,-158426.41398880217,3169.3581394242738,2918.382109982569,-1415.1910549912845,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,6,317298.49875616585,316931.9918438971,-158421.99592194855,3169.307873598991,2918.3318441572865,-1415.1659220786432,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,7,317331.17974916514,316964.6728368964,-158438.3364184482,3169.4783190378294,2918.5022895961247,-1415.2511447980623,2217.200557812128,69.05243933619812,30.947560663801887,12.49636017642715,,10551,44,True
3,8,317301.45324350515,316934.9463312364,-158423.4731656182,3169.3247872325883,2918.3487577908836,-1415.1743788954418,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,9,317330.4946705676,316963.98775829887,-158437.99387914944,3169.492748945574,2918.5167195038694,-1415.2583597519347,2217.200557812128,69.05243933619812,30.947560663801887,12.49636017642715,,10551,44,True
3,10,317323.0586077712,316956.5516955024,-158434.2758477512,3169.426917493309,2918.450888051604,-1415.225444025802,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,11,317325.83096533985,316959.3240530711,-158435.66202653555,3168.776764576359,2917.800735134654,-1414.900367567327,2217.200557812128,69.82870032779628,30.171299672203723,11.160042353052171,,10551,44,True
3,12,317331.17974916514,316964.6728368964,-158438.3364184482,3169.4783190378294,2918.5022895961247,-1415.2511447980623,2217.200557812128,69.05243933619812,30.947560663801887,12.49636017642715,,10551,44,True
3,13,317316.4647658746,316949.95785360585,-158430.97892680293,3168.6305300262943,2917.6545005845896,-1414.8272502922948,2217.200557812128,69.82870032779628,30.171299672203723,11.160042353052171,,10551,44,True
3,14,317323.0586077712,316956.5516955024,-158434.2758477512,3169.426917493309,2918.450888051604,-1415.225444025802,2217.200557812128,69.47382514806814,30.526174851931852,12.16611863447132,,10551,44,True
3,15,317327.3993281102,316960.89241584146,-158436.44620792073,3169.4613905113747,2918.48536106967,-1415.242680534835,2217.200557812128,69.05243933619812,30.947560663801887,12.49636017642715,,10551,44,True
3,16,317330.2139127532,316963.70700048446,-158437.85350024223,3169.454182228321,2918.478152786616,-1415.239076393308,2217.200557812128,69.19200636213978,30.80799363786022,12.146408783685555,,10551,44,True
3,17,317327.3993281102,316960.89241584146,-158436.44620792073,3169.4613905113747,2918.48536106967,-1415.242680534835,2217.200557812128,69.05243933619812,30.947560663801887,12.49636017642715,,10551,44,True
3,18,317354.2860397211,316987.77912745235,-158449.88956372617,3169.316031475538,2918.340002033833,-1415.1700010169166,2217.200557812128,68.97325724049,31.026742759509997,12.508768631030895,,10551,44,True
3,19,317326.18176245346,316959.6748501847,-158435.83742509235,3169.4478467070385,2918.471817265334,-1415.235908632667,2217.200557812128,69.0524393361981,30.947560663801898,12.49636017642715,,10551,44,True
4,0,305784.40820556454,305292.95575502235,-152587.47787751118,3176.361077856903,2839.8250383782533,-1360.9125191891267,2217.200557812128,61.958761559537514,38.041238440462486,10.017473327368904,,10551,59,True
4,1,308347.5045891281,307856.0521385859,-153869.02606929294,3198.904125632022,2862.368086153372,-1372.184043076686,2217.200557812128,54.26779241279588,45.73220758720412,10.785722756233078,,10551,59,True
4,2,308259.8753198466,307768.4228693044,-153825.2114346522,3197.936095156914,2861.400055678264,-1371.700027839132,2217.200557812128,55.55624251446054,44.44375748553946,10.067258190835375,,10551,59,True
