source,destination,w,n_obs
39-5012,33-2011,1670.3651,1
39-5012,35-2021,690.8298,1
39-5012,35-3011,4509.3808,1
39-5012,35-3031,10169.9175,4
39-5012,37-1012,2687.5704,1
39-5012,37-2012,14503.1139,5
39-5012,39-5011,50347.6736,15
39-5012,41-1011,17653.9333,4
39-5012,41-2031,23917.1969,6
39-5012,41-9099,3813.9132,1
39-5012,43-1011,6558.9789,2
39-5012,43-3031,14658.6342,4
39-5012,43-3071,1768.3816,1
39-5012,43-4051,27546.1359,8
39-5012,43-4171,29255.78,6
39-5012,43-4199,3897.0052,1
39-5012,43-5021,5830.0183,2
39-5012,43-5051,3109.5672,1
39-5012,43-9022,4561.701,1
39-5012,43-9061,26050.6957,6
39-5012,49-9051,5393.5886,1
39-5012,49-9071,6494.7045,1
39-5012,51-2031,5710.2586,1
39-5012,51-3011,2194.7221,1
39-5012,51-5112,3377.1534,1
39-5012,51-8031,4449.4222,1
39-5012,51-9061,9051.5478,2
39-5012,53-6021,2304.1716,1
39-5012,53-7062,15087.217,3
39-5012,53-7064,17071.1692,4
39-5012,53-7065,12749.0263,4
39-9011,11-1021,5712.8001,2
39-9011,11-3021,6214.7845,1
39-9011,11-3051,10135.6338,2
39-9011,11-3061,9890.757399999999,2
39-9011,11-9013,4348.2376,1
39-9011,11-9051,11434.090100000001,4
39-9011,11-9111,7923.1205,1
39-9011,11-9141,5059.51,1
39-9011,11-9151,4292.8516,2
39-9011,13-1111,17241.916,6
39-9011,13-1161,906.8228,1
39-9011,13-1199,22959.266,6
39-9011,13-2011,1983.0788,1
39-9011,13-2082,4534.0736,2
39-9011,17-2051,5111.1631,2
39-9011,17-2141,2344.7906,1
39-9011,19-3011,3940.9393,1
39-9011,21-1093,21052.576399999998,6
39-9011,21-2011,3995.775,1
39-9011,21-2099,4723.6649,1
39-9011,23-2011,9245.9106,2
39-9011,25-4031,2084.1721,1
39-9011,27-2011,1737.239,1
39-9011,27-3043,4232.9928,2
39-9011,27-4021,16178.9207,4
39-9011,29-1031,2634.312,1
39-9011,29-1129,13427.2057,3
39-9011,29-1141,16408.6694,5
39-9011,29-1171,4021.2617,1
39-9011,29-1292,5301.1427,1
39-9011,29-2061,20408.597,5
39-9011,31-1122,102214.8392,36
39-9011,31-9011,4067.3148,1
39-9011,31-9092,20565.9234,3
39-9011,31-9097,6320.7968,2
39-9011,33-9091,3787.3335,1
39-9011,35-1011,3902.2525,1
39-9011,35-1012,12999.4475,5
39-9011,35-2021,28801.4559,10
39-9011,35-3031,43064.1938,10
39-9011,35-9011,5268.7492,1
39-9011,35-9021,466.1431,1
39-9011,35-9031,14832.3405,6
39-9011,37-1011,17116.0363,4
39-9011,37-2012,72830.8257,18
39-9011,39-2011,4700.0253,1
39-9011,39-2021,8109.6404999999995,2
39-9011,39-5012,12732.5698,4
39-9011,41-1011,22832.185400000002,6
39-9011,41-1012,6720.4869,2
39-9011,41-2031,31638.1617,11
39-9011,41-3021,2311.0679,1
39-9011,41-3091,4825.647,2
39-9011,41-9099,8234.794399999999,2
39-9011,43-1011,17136.726300000002,5
39-9011,43-3021,17270.3047,5
39-9011,43-3031,7142.9469,2
39-9011,43-3051,5371.341200000001,2
39-9011,43-3071,10192.5929,2
39-9011,43-4031,4841.2751,1
39-9011,43-4051,42724.6984,10
39-9011,43-4061,3952.9703,1
39-9011,43-4171,29052.711799999997,7
39-9011,43-4181,10400.0127,2
39-9011,43-4199,4609.7881,1
39-9011,43-5021,14248.2556,3
39-9011,43-5052,4069.1169,1
39-9011,43-5071,4305.6559,1
39-9011,43-5111,11690.3957,3
39-9011,43-9021,1596.4548,1
39-9011,43-9051,4759.1057,1
39-9011,43-9061,25839.5972,6
39-9011,47-2031,3539.078,1
39-9011,47-2061,36778.2431,9
39-9011,47-2141,15716.194,2
39-9011,47-2211,4067.264,1
39-9011,47-4011,5537.2508,1
39-9011,49-2011,3850.3387,1
39-9011,49-9071,5413.1209,2
39-9011,51-1011,4166.7932,1
39-9011,51-3011,3336.2853,1
39-9011,51-6011,5823.7419,1
39-9011,51-6021,1535.4874,1
39-9011,51-9061,14728.599,4
39-9011,51-9111,1743.0315,1
39-9011,51-9198,9364.0753,2
39-9011,53-6061,14559.9038,4
39-9011,53-7051,4929.5942,1
39-9011,53-7061,3936.9111,1
39-9011,53-7062,5266.2415,4
39-9011,53-7064,7498.0397,2
39-9011,53-7065,17865.396099999998,5
39-9041,11-9021,3582.7215,1
39-9041,11-9081,2765.4791,1
39-9041,11-9111,4307.0132,1
39-9041,11-9151,8948.9085,2
39-9041,13-1041,5060.3841,1
39-9041,21-1093,7766.1383000000005,2
39-9041,29-2061,3013.5645,1
39-9041,31-1122,9735.2988,3
39-9041,35-1011,3379.6101,1
39-9041,35-3031,858.1205,1
39-9041,35-9011,1419.0196,1
39-9041,39-9011,4596.2718,1
39-9041,41-1011,9594.0748,1
39-9041,41-3021,4031.8877,1
39-9041,43-3031,321.1911,1
39-9041,43-4071,4042.6808,1
39-9041,43-4171,3150.2715,1
39-9041,43-9199,5641.0998,1
39-9041,47-1011,3557.0643,1
39-9041,51-1011,4039.1292,1
41-1011,11-1011,112185.154,32
41-1011,11-1021,141461.1868,40
41-1011,11-3021,36928.4148,9
41-1011,11-3031,61457.20849999999,20
41-1011,11-3051,9624.1903,4
41-1011,11-3061,8435.7456,2
41-1011,11-3071,49343.231,12
41-1011,11-3121,18350.6524,6
41-1011,11-9013,50968.9715,20
41-1011,11-9021,21916.093100000002,6
41-1011,11-9041,3439.9923,2
41-1011,11-9051,79697.9352,24
41-1011,11-9081,10967.666,3
41-1011,11-9111,21932.194900000002,7
41-1011,11-9141,11971.9445,4
41-1011,11-9151,10790.1709,3
41-1011,13-1011,2226.2221,1
41-1011,13-1021,1041.8252,1
41-1011,13-1022,68734.6272,18
41-1011,13-1023,14521.329,3
41-1011,13-1041,12851.4372,4
41-1011,13-1081,5944.1389,3
41-1011,13-1111,27376.213499999998,9
41-1011,13-1161,47773.4519,9
41-1011,13-1199,25375.9267,10
41-1011,13-2011,25098.675000000003,6
41-1011,13-2051,8505.1939,3
41-1011,13-2052,3993.3293,3
41-1011,15-1211,19134.743599999998,6
41-1011,15-1212,8734.3096,2
41-1011,15-1242,8149.4552,2
41-1011,15-1251,1785.6894,1
41-1011,15-1253,28192.9611,10
41-1011,15-1254,10372.0771,3
41-1011,17-2011,2865.2197,1
41-1011,17-2041,4988.0896,1
41-1011,17-2061,793.8609,1
41-1011,17-2121,5480.0559,1
41-1011,17-2141,2024.9045,1
41-1011,17-2199,21278.0262,5
41-1011,17-3031,11640.8626,3
41-1011,21-1093,3962.6597,3
41-1011,21-2011,4738.4266,2
41-1011,23-1011,8076.497,2
41-1011,23-2011,13509.6286,3
41-1011,27-3031,9467.9809,2
41-1011,27-3043,3147.7757,1
41-1011,27-4021,5286.0432,2
41-1011,29-1031,3974.154,1
41-1011,29-1051,21242.1696,5
41-1011,29-1071,6021.2743,1
41-1011,29-1123,11821.4672,4
41-1011,29-1127,8377.8968,2
41-1011,29-1129,1079.1293,1
41-1011,29-1131,295.4643,1
41-1011,29-1141,39943.6843,10
41-1011,29-1292,4873.6427,1
41-1011,29-2061,20209.0405,5
41-1011,31-1122,38996.3983,10
41-1011,31-9011,4419.2581,1
41-1011,31-9091,5669.2156,1
41-1011,31-9092,7087.1414,3
41-1011,33-2011,3258.3659,1
41-1011,33-3051,3863.6357,1
41-1011,33-9093,4164.3069,1
41-1011,35-1011,13709.924500000001,3
41-1011,35-1012,25940.5152,7
41-1011,35-2021,29920.908,9
41-1011,35-3011,15603.333,3
41-1011,35-3031,32677.8473,9
41-1011,35-9011,7802.8555,2
41-1011,35-9021,6009.6507,1
41-1011,37-1011,6153.5926,3
41-1011,37-1012,4717.8415,1
41-1011,37-2012,28992.3981,9
41-1011,37-2021,5096.8441,1
41-1011,39-2011,8978.9636,2
41-1011,39-2021,4113.1416,1
41-1011,39-4031,2028.0392,1
41-1011,39-5012,8465.1626,3
41-1011,39-9011,26379.8872,8
41-1011,41-1012,163289.7507,51
41-1011,41-2022,13833.9693,8
41-1011,41-2031,659094.4177,181
41-1011,41-3011,5449.2424,1
41-1011,41-3021,20666.1029,4
41-1011,41-3031,5727.5857,1
41-1011,41-3041,7233.9443,1
41-1011,41-3091,38854.5147,11
41-1011,41-9091,9096.2482,3
41-1011,41-9099,47754.2379,14
41-1011,43-1011,74752.2183,23
41-1011,43-3021,549.0048,1
41-1011,43-3031,64785.598099999996,20
41-1011,43-3051,1426.1937,1
41-1011,43-3071,4630.7584,3
41-1011,43-3099,3912.7207,1
41-1011,43-4041,3463.4705,1
41-1011,43-4051,177965.7758,48
41-1011,43-4071,6645.3951,1
41-1011,43-4081,5092.6301,2
41-1011,43-4131,7481.721799999999,2
41-1011,43-4151,21777.888,6
41-1011,43-4161,3427.1138,2
41-1011,43-4171,18491.969,4
41-1011,43-4181,4061.9685,1
41-1011,43-4199,5013.7345,1
41-1011,43-5021,48157.5746,12
41-1011,43-5051,442.2814,1
41-1011,43-5052,434.872,1
41-1011,43-5071,35689.5933,7
41-1011,43-5111,3342.8349,2
41-1011,43-9021,16259.8023,4
41-1011,43-9022,5500.7486,1
41-1011,43-9041,8371.0677,2
41-1011,43-9061,83121.47810000001,22
41-1011,43-9199,10585.787600000001,5
41-1011,45-1011,2218.7596,2
41-1011,47-1011,18347.9888,4
41-1011,47-2031,41521.8433,13
41-1011,47-2061,60998.5052,16
41-1011,47-2111,25484.9685,7
41-1011,47-2141,366.7801,1
41-1011,47-2181,1203.4915,1
41-1011,47-4031,7386.1964,1
41-1011,49-1011,54264.7479,12
41-1011,49-2011,2501.5417,1
41-1011,49-2097,4730.0333,1
41-1011,49-3011,4202.0688,1
41-1011,49-3021,4646.079,1
41-1011,49-3023,38813.6205,9
41-1011,49-3031,1453.8805,1
41-1011,49-9021,22994.4287,6
41-1011,49-9052,8235.343499999999,2
41-1011,49-9071,18456.6912,7
41-1011,51-1011,30349.6462,9
41-1011,51-3011,36247.322199999995,8
41-1011,51-3092,550.1675,1
41-1011,51-3099,3922.5266,2
41-1011,51-4111,3621.8051,1
41-1011,51-4199,4024.9206000000004,2
41-1011,51-5112,8972.2912,2
41-1011,51-6031,14946.0501,4
41-1011,51-6064,3884.412,1
41-1011,51-6099,5095.0643,1
41-1011,51-8021,6630.8423,3
41-1011,51-9061,30593.0368,10
41-1011,51-9071,11015.2109,6
41-1011,51-9111,11739.8516,2
41-1011,51-9194,4144.3066,1
41-1011,51-9198,5764.6705,3
41-1011,53-2031,3979.5619,1
41-1011,53-3099,4095.3991,1
41-1011,53-6031,2310.1293,1
41-1011,53-6051,963.0915,1
41-1011,53-6061,4609.6692,1
41-1011,53-7051,967.8813,1
41-1011,53-7061,26068.1443,6
41-1011,53-7062,153112.6113,44
41-1011,53-7063,12229.223600000001,3
41-1011,53-7064,4022.0322,2
41-1011,53-7065,135453.2558,44
41-1011,53-7081,3875.41,1
41-1012,11-1011,53774.6179,17
41-1012,11-1021,77965.6547,28
41-1012,11-2011,1928.3097,1
41-1012,11-3021,21507.2974,7
41-1012,11-3031,48687.3987,15
41-1012,11-3051,5717.0032,1
41-1012,11-3071,21042.9359,7
41-1012,11-3111,4469.1005000000005,2
41-1012,11-9013,6787.0518,5
41-1012,11-9021,20423.1902,7
41-1012,11-9041,1050.9848,1
41-1012,11-9051,17117.2859,5
41-1012,11-9081,20758.4495,5
41-1012,11-9111,11963.9462,4
41-1012,11-9141,24150.778,8
41-1012,11-9151,381.7964,1
41-1012,13-1022,17423.3857,4
41-1012,13-1023,11861.4678,2
41-1012,13-1041,9631.072499999998,3
41-1012,13-1051,4645.4506,1
41-1012,13-1111,16188.398,5
41-1012,13-1121,8602.9707,3
41-1012,13-1199,9661.4455,2
41-1012,13-2011,14397.0333,5
41-1012,13-2051,10842.0703,2
41-1012,13-2052,30043.1791,8
41-1012,13-2053,9043.5808,2
41-1012,13-2082,4366.9869,1
41-1012,15-1212,5846.4294,1
41-1012,15-1241,4128.7422,1
41-1012,15-1244,3046.0924,1
41-1012,15-1253,19702.3906,7
41-1012,15-1254,8216.9465,2
41-1012,15-2011,5671.6332,2
41-1012,17-2011,2068.0209,1
41-1012,17-2051,8334.3551,1
41-1012,17-2199,17175.4615,5
41-1012,19-2099,5059.7463,1
41-1012,19-3051,371.072,1
41-1012,21-1093,7654.8312,2
41-1012,21-2099,1453.652,1
41-1012,23-1011,6858.5207,2
41-1012,23-1012,2415.738,1
41-1012,23-2011,4274.8944,1
41-1012,25-4022,875.0731000000001,2
41-1012,27-3042,1966.7144,1
41-1012,29-1129,4514.4989,1
41-1012,29-1141,20886.2249,6
41-1012,29-2061,16051.196100000001,5
41-1012,31-1122,8860.1716,3
41-1012,31-9091,1008.3434,1
41-1012,31-9092,8373.4327,2
41-1012,33-1011,2727.0389,1
41-1012,33-3041,1518.1839,1
41-1012,33-3051,4072.1075,1
41-1012,33-9093,3885.3776,1
41-1012,35-1012,13996.7751,3
41-1012,35-3031,8855.207900000001,3
41-1012,35-9011,4927.7283,1
41-1012,35-9021,508.8527,1
41-1012,35-9031,586.2074,1
41-1012,37-1011,14398.1911,5
41-1012,37-1012,5006.4102,1
41-1012,37-2012,4054.1349,1
41-1012,39-2021,6699.3248,3
41-1012,39-3031,1564.038,2
41-1012,39-4031,406.3399,1
41-1012,39-9011,12822.7583,4
41-1012,39-9041,5595.2704,1
41-1012,41-1011,266478.0217,79
41-1012,41-2021,6098.8956,2
41-1012,41-2031,68117.566,18
41-1012,41-3021,90764.2764,28
41-1012,41-3031,8960.3261,2
41-1012,41-3091,13447.4138,4
41-1012,41-9099,4728.4008,1
41-1012,43-1011,114252.2963,33
41-1012,43-3021,16502.6352,3
41-1012,43-3031,41873.5355,11
41-1012,43-3061,7585.4055,2
41-1012,43-4041,3728.0171,1
41-1012,43-4051,88052.5673,24
41-1012,43-4111,3704.5543,1
41-1012,43-4171,41555.0621,11
41-1012,43-4181,3322.1516,1
41-1012,43-4199,6333.538500000001,4
41-1012,43-5021,8211.8402,3
41-1012,43-5061,4866.4953000000005,2
41-1012,43-5071,13318.3763,6
41-1012,43-9022,12558.8905,2
41-1012,43-9041,52973.8854,15
41-1012,43-9051,5071.4325,1
41-1012,43-9061,46877.1106,11
41-1012,43-9199,10832.3189,4
41-1012,45-1011,1589.5684,1
41-1012,45-2041,3982.1319,1
41-1012,47-1011,9490.841199999999,7
41-1012,47-2031,6138.4779,2
41-1012,47-2061,19471.304300000003,6
41-1012,47-2111,1434.0829,1
41-1012,47-2141,1370.0808,1
41-1012,47-2181,4038.7351,1
41-1012,47-2211,4482.5269,1
41-1012,49-1011,18020.227,6
41-1012,49-2011,7203.0306,2
41-1012,49-3021,16890.1021,6
41-1012,49-3022,5588.3475,1
41-1012,49-3023,66547.3565,21
41-1012,49-3031,16422.6064,6
41-1012,49-9021,5010.4151,2
41-1012,49-9031,3850.2676,1
41-1012,49-9052,4387.1058,1
41-1012,49-9071,4343.0858,1
41-1012,49-9098,5415.3208,2
41-1012,51-1011,41769.501000000004,12
41-1012,51-3011,1059.7724,1
41-1012,51-4041,2550.929,1
41-1012,51-4199,3350.6332,1
41-1012,51-5112,966.1004,1
41-1012,51-6031,4659.8582,1
41-1012,51-6064,6470.3709,1
41-1012,51-6093,11656.7356,3
41-1012,51-7021,9965.3227,3
41-1012,51-8021,2532.6924,1
41-1012,51-8031,926.8506,1
41-1012,51-9061,16109.838099999999,3
41-1012,51-9071,6872.266,1
41-1012,51-9198,1152.0298,1
41-1012,53-7021,1500.3008,1
41-1012,53-7051,14266.7479,3
41-1012,53-7061,41548.3658,10
41-1012,53-7062,27329.8258,8
41-1012,53-7064,27203.289399999998,4
41-1012,53-7065,6787.4012,5
41-1012,53-7081,7795.3045999999995,2
41-2021,11-1021,902.2419,1
41-2021,11-3061,399.8866,1
41-2021,11-9021,786.8728,1
41-2021,11-9141,9072.6152,2
41-2021,13-1199,5069.1885,1
41-2021,15-1212,3761.9278,1
41-2021,25-4022,5647.3899,1
41-2021,27-4021,518.2859,1
41-2021,29-1071,4702.9178,1
41-2021,35-1012,5460.581,1
41-2021,35-2021,9190.618,2
41-2021,35-3031,8354.5203,2
41-2021,37-2012,4250.9227,1
41-2021,41-1011,7558.4864,1
41-2021,41-1012,581.2348,1
41-2021,41-2031,11241.4621,3
41-2021,41-3091,9173.3903,3
41-2021,41-9099,6816.169,2
41-2021,43-1011,4981.7513,3
41-2021,43-4051,11204.353200000001,5
41-2021,43-4171,2390.8833,1
41-2021,43-9061,9253.113399999998,2
41-2021,43-9199,5299.192,1
41-2021,47-2061,17478.3592,4
41-2021,49-1011,757.1997,1
41-2021,49-3023,3721.6231,1
41-2021,49-9071,5526.2232,2
41-2021,51-6011,8286.3154,4
41-2021,53-7062,1915.0833,1
41-2021,53-7064,9491.7076,2
41-2021,53-7065,9074.7369,2
41-2022,13-1121,984.987,1
41-2022,17-2051,3766.3473,1
41-2022,17-2061,892.5651,1
41-2022,21-1093,1624.8288,1
41-2022,31-9092,4599.4048,1
41-2022,33-3051,6468.2612,1
41-2022,35-1012,5178.6309,1
41-2022,35-3011,1368.6504,2
41-2022,35-9021,882.7172,1
41-2022,41-1011,24077.4391,7
41-2022,41-2031,78539.0461,18
41-2022,41-3021,4964.3552,1
41-2022,41-3091,13746.3799,4
41-2022,43-3051,593.7345,1
41-2022,43-3071,5731.7681,1
41-2022,43-4051,9962.1433,4
41-2022,43-4151,4913.1176,1
41-2022,43-4171,7648.4642,2
41-2022,43-5061,4389.4714,1
41-2022,43-5071,5207.2278,1
41-2022,43-9061,7191.8068,2
41-2022,45-1011,4185.2127,1
41-2022,47-2031,6183.9315,1
41-2022,47-2061,4453.369,1
41-2022,47-2141,1045.864,1
41-2022,49-3023,26040.9995,7
41-2022,51-4199,4064.9712,1
41-2022,53-3099,4209.2214,1
41-2022,53-7051,3899.8495,1
41-2022,53-7062,4950.0479,1
41-2022,53-7064,4229.6216,1
41-2022,53-7065,3671.5545,1
41-2031,11-1011,26315.318900000002,7
41-2031,11-1021,56214.539600000004,16
41-2031,11-3021,3300.0251,1
41-2031,11-3031,17770.0848,6
41-2031,11-3051,9608.2931,3
41-2031,11-3061,17448.1455,4
41-2031,11-3071,15808.387200000001,4
41-2031,11-9013,36187.605,13
41-2031,11-9021,32341.0272,8
41-2031,11-9051,36074.9373,11
41-2031,11-9081,7530.7243,2
41-2031,11-9111,23729.781600000002,7
41-2031,11-9121,5016.8673,2
41-2031,11-9151,6326.9193,1
41-2031,13-1021,4851.8767,1
41-2031,13-1022,34069.6674,9
41-2031,13-1023,9400.1667,2
41-2031,13-1041,12580.0773,4
41-2031,13-1051,7833.0239,2
41-2031,13-1081,8350.8646,2
41-2031,13-1111,35244.1149,13
41-2031,13-1121,15637.4942,2
41-2031,13-1131,5269.6256,1
41-2031,13-1151,8612.3159,2
41-2031,13-1161,34876.0216,10
41-2031,13-1199,49991.369399999996,13
41-2031,13-2011,19865.1894,5
41-2031,13-2052,22923.8734,5
41-2031,13-2053,5844.3798,1
41-2031,13-2081,5240.2713,1
41-2031,13-2082,4519.4663,1
41-2031,13-2099,4161.2408,1
41-2031,15-1211,9277.0095,2
41-2031,15-1212,9311.9261,1
41-2031,15-1241,2457.6076,1
41-2031,15-1253,34200.1367,9
41-2031,15-1254,4609.5805,2
41-2031,17-2041,1354.9472,1
41-2031,17-2051,3867.4191,1
41-2031,17-2141,9448.1446,2
41-2031,17-2199,5909.0592,1
41-2031,17-3031,4373.0948,1
41-2031,19-2099,465.0695,1
41-2031,19-4031,4343.9298,1
41-2031,21-1093,7258.8694,2
41-2031,23-1011,2650.2235,1
41-2031,23-2011,11166.1621,2
41-2031,25-4022,3714.1607,1
41-2031,27-2011,10196.2123,2
41-2031,27-2012,3622.5187,1
41-2031,27-4021,954.1844,1
41-2031,29-1051,6691.538,2
41-2031,29-1123,7969.5466,2
41-2031,29-1126,9912.4563,2
41-2031,29-1127,5895.9419,1
41-2031,29-1129,1482.6467,1
41-2031,29-1141,31990.8788,8
41-2031,29-2061,11935.9648,3
41-2031,29-2081,10861.442299999999,2
41-2031,31-1122,62109.3382,18
41-2031,31-9011,5206.6589,2
41-2031,31-9091,15730.9323,5
41-2031,31-9092,16371.700499999999,4
41-2031,31-9095,4502.0404,2
41-2031,31-9097,15092.0068,3
41-2031,33-1012,3170.6674,1
41-2031,33-1021,5055.9116,1
41-2031,33-2011,6347.8285000000005,2
41-2031,33-3021,13169.3282,3
41-2031,33-3051,10497.8488,3
41-2031,33-9021,1271.1951,1
41-2031,35-1011,22102.3213,4
41-2031,35-1012,14519.2841,4
41-2031,35-2021,60339.0305,13
41-2031,35-3011,10221.8841,4
41-2031,35-3031,117522.15269999999,31
41-2031,35-3041,15232.615899999999,5
41-2031,35-9011,6232.2696,2
41-2031,35-9021,1764.5447,2
41-2031,35-9031,30847.4496,6
41-2031,37-1011,9937.3153,3
41-2031,37-1012,440.8728,1
41-2031,37-2012,22061.7304,6
41-2031,37-2021,8995.707,2
41-2031,39-2011,4352.7908,1
41-2031,39-2021,8986.8816,4
41-2031,39-3031,2349.7225,1
41-2031,39-5011,5135.4372,2
41-2031,39-5012,21462.235800000002,6
41-2031,39-9011,38296.7913,12
41-2031,39-9041,594.6101,1
41-2031,41-1011,611309.7337,176
41-2031,41-1012,59974.7187,16
41-2031,41-2021,3188.0233,3
41-2031,41-2022,27798.6983,11
41-2031,41-3011,12153.861,6
41-2031,41-3021,26996.484,7
41-2031,41-3031,10507.5942,3
41-2031,41-3041,505.1889,1
41-2031,41-3091,174128.2621,48
41-2031,41-9041,5847.9638,1
41-2031,41-9091,24657.3723,7
41-2031,41-9099,184114.4316,48
41-2031,43-1011,57425.9054,16
41-2031,43-2011,2550.4475,1
41-2031,43-3021,3299.2544,3
41-2031,43-3031,29888.7875,11
41-2031,43-3061,711.0138,1
41-2031,43-3071,8497.974,2
41-2031,43-3099,11780.3855,3
41-2031,43-4051,494456.7704,130
41-2031,43-4081,7548.5557,3
41-2031,43-4111,6794.7683,3
41-2031,43-4121,3103.2272,1
41-2031,43-4151,45782.450899999996,12
41-2031,43-4161,4516.9775,1
41-2031,43-4171,72848.4747,21
41-2031,43-4181,19544.4333,5
41-2031,43-5021,29735.6187,7
41-2031,43-5052,12669.1679,3
41-2031,43-5053,1640.0081,1
41-2031,43-5061,6585.2346,2
41-2031,43-5071,54480.0042,15
41-2031,43-5111,6223.1253,2
41-2031,43-9021,1226.3274,1
41-2031,43-9022,4426.8578,1
41-2031,43-9041,809.7082,1
41-2031,43-9061,99158.4047,26
41-2031,43-9071,5195.3423,2
41-2031,43-9199,37338.304,11
41-2031,45-2041,10354.514200000001,2
41-2031,47-1011,11132.248899999999,4
41-2031,47-2031,45622.5225,13
41-2031,47-2061,94515.4323,24
41-2031,47-2073,9434.7271,3
41-2031,47-2111,37930.9061,9
41-2031,47-2141,16491.727899999998,6
41-2031,47-2181,10243.982,2
41-2031,47-4031,2519.7249,1
41-2031,47-4061,11329.4593,2
41-2031,49-1011,13326.7649,4
41-2031,49-2011,14388.928899999999,4
41-2031,49-3011,1220.6685,1
41-2031,49-3021,7941.1607,2
41-2031,49-3023,39147.513,9
41-2031,49-3031,5015.2425,1
41-2031,49-9021,2253.2014,1
41-2031,49-9071,26376.7077,7
41-2031,49-9094,5548.0371,1
41-2031,51-1011,28574.429099999998,8
41-2031,51-3011,25686.5152,6
41-2031,51-3091,2521.7311,3
41-2031,51-3092,7407.1279,2
41-2031,51-4041,13028.5654,3
41-2031,51-4199,8598.7539,2
41-2031,51-5112,4390.2234,2
41-2031,51-6031,3950.1883,1
41-2031,51-9041,2383.5413,1
41-2031,51-9051,6244.897000000001,2
41-2031,51-9061,58912.0202,13
41-2031,51-9071,6289.5918,3
41-2031,51-9111,5411.1746,2
41-2031,51-9151,2909.4155,1
41-2031,51-9198,13268.0208,3
41-2031,53-3099,4316.184,2
41-2031,53-6021,5599.8922,1
41-2031,53-6031,13566.7783,3
41-2031,53-7041,5373.0594,1
41-2031,53-7051,30786.5106,8
41-2031,53-7061,16781.8926,4
41-2031,53-7062,190465.8434,54
41-2031,53-7064,29032.7678,8
41-2031,53-7065,313914.658,84
41-2031,53-7199,4992.2433,1
41-3011,11-1011,405.659,1
41-3011,11-2011,11729.4496,3
41-3011,11-3031,4340.7044,1
41-3011,11-3071,6078.8567,1
41-3011,13-1161,30436.8138,8
41-3011,13-1199,355.028,1
41-3011,13-2011,4620.7993,1
41-3011,13-2053,4025.024,1
41-3011,13-2099,4145.3064,1
41-3011,27-2012,4731.5107,1
41-3011,27-3031,5956.394,1
41-3011,27-3043,779.808,1
41-3011,29-1051,1402.3515,1
41-3011,35-3031,6055.9097,1
41-3011,41-1011,3069.5494,1
41-3011,41-2031,7836.5237,3
41-3011,41-3021,6355.7883,2
41-3011,41-3031,2390.6913,1
41-3011,41-3091,13906.5649,5
41-3011,41-9099,17482.6504,3
41-3011,43-1011,4369.8669,1
41-3011,43-3021,4905.5484,1
41-3011,43-3031,3297.5467,1
41-3011,43-4051,14024.2954,3
41-3011,43-9051,4788.7787,1
41-3011,43-9061,576.6089,1
41-3011,43-9111,3382.3397,1
41-3011,47-2031,5066.4038,1
41-3011,53-7051,2709.2556,1
41-3011,53-7062,724.1078,1
41-3021,11-1011,29786.5554,6
41-3021,11-1021,7287.8639,1
41-3021,11-3021,4436.5991,1
41-3021,11-3031,15004.417399999998,6
41-3021,11-9051,1774.768,1
41-3021,11-9111,2716.0945,1
41-3021,11-9141,9578.9157,3
41-3021,13-1022,4720.0002,1
41-3021,13-1041,5353.1738,1
41-3021,13-1111,23403.425,6
41-3021,13-1141,6788.6684000000005,2
41-3021,13-1161,17084.1564,3
41-3021,13-1199,5586.4573,2
41-3021,13-2011,9682.1566,2
41-3021,13-2051,6887.5625,1
41-3021,13-2052,29585.013,7
41-3021,13-2053,26920.751,6
41-3021,13-2082,5939.248,1
41-3021,15-1211,6533.5925,1
41-3021,15-1212,4095.6809,1
41-3021,15-1251,8829.4876,2
41-3021,15-1253,19584.2755,5
41-3021,21-1093,11632.176500000001,3
41-3021,27-3041,5853.6731,1
41-3021,27-3043,2638.5137,1
41-3021,27-4021,2421.6739,2
41-3021,29-1127,3029.8669,1
41-3021,29-1141,21086.5585,6
41-3021,31-1122,18569.2471,4
41-3021,31-9091,6162.7586,1
41-3021,31-9095,5961.3983,1
41-3021,33-9021,2868.4089,1
41-3021,35-1011,2806.9319,2
41-3021,35-2021,5588.185,1
41-3021,35-3031,3824.0394,1
41-3021,35-9031,1972.6004,1
41-3021,39-5012,10389.4727,3
41-3021,39-9011,4421.5596,1
41-3021,41-1011,18403.9965,4
41-3021,41-1012,141480.0047,40
41-3021,41-2031,15441.7305,3
41-3021,41-3031,11090.908300000001,3
41-3021,41-3091,2965.5291,1
41-3021,41-9041,3741.1125,1
41-3021,41-9099,24165.6509,5
41-3021,43-1011,18722.298300000002,4
41-3021,43-3011,8810.4827,1
41-3021,43-3031,9407.8391,2
41-3021,43-3099,3321.8253,1
41-3021,43-4051,33292.8004,9
41-3021,43-4081,6480.4435,1
41-3021,43-4171,14026.108499999998,6
41-3021,43-5021,1037.2456,1
41-3021,43-9041,77643.29089999999,17
41-3021,43-9061,41805.508799999996,11
41-3021,43-9199,10207.694599999999,2
41-3021,47-2061,12647.642199999998,4
41-3021,47-2111,4049.1068,1
41-3021,51-3092,4483.0825,1
41-3021,51-4199,3921.1151,1
41-3021,51-9061,7752.8804,1
41-3021,51-9198,1634.0574,1
41-3021,53-7051,909.1853,1
41-3021,53-7061,818.0763,1
41-3021,53-7062,14102.7291,4
41-3021,53-7063,3012.6568,1
41-3021,53-7064,1910.0673,1
